gene,training_f_score
GIMAP4,30.918405318542227
ID1,30.89125868007592
PGD,30.891188512269302
UBA52,30.85108170263333
RPL24,30.75672826331124
JUN,30.544916309700714
PTGDR,30.435299651460166
GAPT,30.40124053208328
HN1,30.3332472227892
FCRL1,30.219574434273927
TBX21,30.201289323688712
KIR3DL2,30.12063658388021
TAL1,30.047551461233738
BST2,29.99611277488216
DOK2,29.91552639709276
CD36,29.874779660457605
ATP5G2,29.86514538900609
RPL34,29.680732830142347
FAM110A,29.456471020740448
CD22,29.418793760135053
GRAP2,29.39429256040815
YBX1,29.367758946924823
AC092295.7,29.296578209994497
ZFP36L2,29.20675693959653
CX3CR1,29.17932640419285
HINT1,29.087996808926345
SCPEP1,29.074419418208915
ZFP36,29.07402859607936
RPS4Y1,28.974659823868123
MEF2C,28.912671101944184
FAM63A,28.86584819796107
FHIT,28.856379209248942
HNMT,28.799987343505265
ATP6V1F,28.736410328861194
EMR2,28.673733622668834
VMO1,28.6120066353819
CD40LG,28.58947985934187
SUPT4H1,28.56978885372107
AOAH,28.455537494060245
MAPKAPK3,28.41239415529153
GLUL,28.385425538254477
CD1D,28.36423852811305
CLEC4E,28.193655958273386
NAP1L1,28.19241009265226
BTK,27.945553830572184
SNX29P2,27.860869885440806
PTPN6,27.774697836791255
GRINA,27.696996295846354
ARPC5L,27.66100876376256
ACAP1,27.639899043175927
RHOH,27.597457065539192
ICAM4,27.59704121883246
PLEKHF2,27.587185546078675
LILRB4,27.485047586700095
HHEX,27.463174447075605
MARCO,27.353255367855308
OAS1,27.336534028370437
GNAI2,27.31515578672706
GCA,27.14577773439563
SERPINE1,27.00282381174418
LIMS1,26.94564133941182
LILRA2,26.943712186044223
SULT1A1,26.788516987861406
MLH3,26.78548021941306
SLC2A6,26.757725792166326
SLC43A2,26.730430565051453
LAMTOR1,26.59088206686312
CLEC12A,26.559941376676445
RGCC,26.464959926782946
CD180,26.449636239434984
LEPROTL1,26.380336726822925
DYNLT1,26.36298285246242
HLA-E,26.313292825474733
CUX1,26.2577402352269
FOSB,26.102170461074795
MT-ND1,25.999107078359177
CLTA,25.93450370739907
MZB1,25.86183813973505
RNF11,25.84637503770566
TPTEP1,25.802493743809148
ATP6V0D1,25.729059850780974
ATG3,25.664539451784886
TCF7,25.620604674492117
LAT2,25.58737028999325
ADA,25.56204811135282
GLS2,25.50046910297978
POU2AF1,25.496988523535457
FYB,25.472871875121612
VAMP8,25.341151821262486
NOP10,25.262031034656896
RALGPS2,25.234592115272473
SERP1,25.176783500848785
CTSA,25.088559488630985
ASCL2,24.90506795104753
LILRB3,24.849935012040802
TNFRSF4,24.795183428362918
EGFL7,24.778428979592977
TCEB2,24.73098653406838
FAH,24.717236299691184
TIGIT,24.67586792338246
CXXC5,24.650596477782738
ZNF703,24.6240379856896
RETN,24.590791402717162
RHOA,24.56190206008804
SLC16A3,24.543998095073523
ADRBK1,24.487169756193655
WDR11-AS1,24.47236154200924
AC079767.4,24.438483819440837
OCIAD2,24.41903492016001
FLT3LG,24.364334493752
RNASET2,24.27736986154367
RPL23,24.203866495930757
SNX3,24.17265994103933
CHST2,24.120973304074
UBB,24.08761620561484
YBX3,23.924356502432147
C6orf48,23.90022904736674
MFSD1,23.793774205931495
RAC2,23.73370643465281
LINC00877,23.72412481608491
RASSF4,23.72364336551096
ITM2B,23.660237146341956
SELL,23.64029074987815
SEPT7,23.623915309888044
MGLL,23.607201405823428
SYTL4,23.5449946134922
ZYX,23.54039093889461
RNH1,23.447253067872474
SAMHD1,23.388988983237518
MGST1,23.369662468564357
MIR24-2,23.289242670122334
C12orf57,23.260119059303104
UNC93B1,23.172608248145085
STK17A,23.171025864101367
PYGL,23.110751074906997
FAM129C,23.07256322353035
AP2A1,23.0414503962979
ALOX5,22.991727295494425
GSTK1,22.980081984816607
CCDC50,22.809538541167267
BRK1,22.75865768576071
ATP13A4,22.7585537473294
OPTN,22.757045631038178
PSMB9,22.75248695868809
TMEM123,22.661499111435845
TUBA4A,22.54992903273236
LITAF,22.51245598795344
FAIM3,22.501769961870856
SH3BGRL,22.48369213642188
SPN,22.48276933391018
TMEM91,22.460232077608474
CALM2,22.43799647582653
TLR10,22.430390542309922
ABCC3,22.389522975363057
PID1,22.370571212477508
PLA2G12A,22.349476329692433
PKM,22.346505805640746
TRABD2A,22.346251823169986
RGS19,22.25680065548742
YWHAQ,22.249992682877206
NRG1,22.162444515839844
NAPRT1,22.154877839856685
KLRC1,22.14447667924019
TCIRG1,22.10335719318062
PAK1,22.103008381190737
