group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
6,C4orf32,-1.1619732,-1.3836102,0.24524631709115452,0.9999851468215875,0.016891891891891893,0.04690590562305736
6,HK2,-1.1622897,-2.7337377,0.24511778836997267,0.9999851468215875,0.006756756756756757,0.03645097485165301
6,EIF3H,-1.1625317,-0.09658743,0.24501953359439388,0.9999851468215875,0.7280405405405406,0.7569935009889799
6,PRDX4,-1.1643561,-0.64322495,0.24427973311881646,0.9999851468215875,0.05405405405405406,0.08448714326080814
6,PTPN9,-1.1647843,-0.8643242,0.24410633395353043,0.9999851468215875,0.028716216216216218,0.059338796270132804
6,TRPV2,-1.1648215,-0.48081228,0.2440912598511944,0.9999851468215875,0.07094594594594594,0.10200621644532354
6,CD1D,-1.1650076,-0.952779,0.2440158991451431,0.9999851468215875,0.03547297297297297,0.06527267589714608
6,PMM1,-1.1663294,-1.1198394,0.2434813079925796,0.9999851468215875,0.02533783783783784,0.05538287651879062
6,DNAJA2,-1.1666086,-0.33540332,0.2433684715742902,0.9999851468215875,0.11993243243243243,0.15173777903362531
6,MLEC,-1.1673719,-0.4018418,0.24306023953559164,0.9999851468215875,0.07432432432432433,0.10624470189319017
6,PLEKHG3,-1.1674463,-2.7609012,0.2430301828153255,0.9999851468215875,0.005067567567567568,0.0350381463690308
6,DTX3,-1.1677628,-3.27345,0.242902470902029,0.9999851468215875,0.0033783783783783786,0.033342752189884146
6,MAML2,-1.168284,-0.50037605,0.24269222473333618,0.9999851468215875,0.0625,0.09409437694263917
6,CIR1,-1.1683584,-0.1722315,0.24266220001516448,0.9999851468215875,0.17905405405405406,0.2175755863238203
6,NOC4L,-1.1687121,-0.8425376,0.24251961827312574,0.9999851468215875,0.028716216216216218,0.059338796270132804
6,C19orf66,-1.1693078,-0.24219272,0.24227961379692897,0.9999851468215875,0.17398648648648649,0.20853348403503816
6,UBE2S,-1.1703131,-0.4410628,0.2418749851828491,0.9999851468215875,0.07094594594594594,0.10257134783837242
6,ARSG,-1.1710764,-1.33966,0.24156808490501036,0.9999851468215875,0.016891891891891893,0.0471884713195818
6,AGPS,-1.1712253,-1.4217821,0.24150823389584775,0.9999851468215875,0.018581081081081082,0.04860129980220401
6,KLHDC4,-1.173906,-0.64528877,0.24043270025627783,0.9999851468215875,0.0472972972972973,0.07827069793727041
6,CAMKK2,-1.1752462,-1.4816579,0.23989620082445284,0.9999851468215875,0.015202702702702704,0.04549307714043515
6,THRA,-1.175935,-1.0489199,0.23962082822481057,0.9999851468215875,0.02533783783783784,0.0559480079118395
6,ATP5EP2,-1.1769403,-0.27000755,0.2392193332046857,0.9999851468215875,0.13175675675675674,0.16671376094942075
6,RALGDS,-1.1773312,-1.2968317,0.23906332446862488,0.9999851468215875,0.02027027027027027,0.050579259677875105
6,CISD1,-1.1782993,-0.6031397,0.23867732606383585,0.9999851468215875,0.05912162162162162,0.08985589149477254
6,DIP2A,-1.1783737,-0.58602285,0.23864765210647665,0.9999851468215875,0.05574324324324324,0.08674766883300368
6,RP11-902B17.1,-1.1791928,-25.261028,0.23832141040083799,0.9999851468215875,0.0,0.030234529528115287
6,C3AR1,-1.1794162,-4.2883396,0.23823249005517233,0.9999851468215875,0.0016891891891891893,0.031929923707261935
6,PLXDC1,-1.1801609,-3.4680467,0.23793625807063834,0.9999851468215875,0.0033783783783783786,0.03362531788640859
6,ATP6V1D,-1.1816874,-0.3785692,0.23732979590877334,0.9999851468215875,0.0945945945945946,0.12715456343599887
6,CDK6,-1.1821713,-1.022044,0.2371377312713565,0.9999851468215875,0.028716216216216218,0.059338796270132804
6,RNF167,-1.1823016,-0.22827809,0.23708604033320635,0.9999851468215875,0.22128378378378377,0.25798248092681547
6,EXOSC7,-1.1826553,-0.63394207,0.2369457764981563,0.9999851468215875,0.0472972972972973,0.0788358293303193
6,RAE1,-1.1837536,-0.5463833,0.23651059424742682,0.9999851468215875,0.06756756756756757,0.09889799378355468
6,TBRG1,-1.1843121,-0.292497,0.23628953199978975,0.9999851468215875,0.09966216216216216,0.13421870584910991
6,UBQLN1,-1.1855035,-0.30551973,0.23581842101261363,0.9999851468215875,0.11993243243243243,0.15343317321277197
6,RP2,-1.1855222,-1.862688,0.2358110651801114,0.9999851468215875,0.010135135135135136,0.040689460299519635
6,ACBD5,-1.1885751,-1.2889796,0.2346069042994462,0.9999851468215875,0.018581081081081082,0.04944899689177734
6,PUF60,-1.190083,-0.21818739,0.23401377567935722,0.9999851468215875,0.20945945945945946,0.24611472167278892
6,EREG,-1.1903064,-4.3915114,0.23392599522714208,0.9999851468215875,0.0016891891891891893,0.03221248940378638
6,ACSL3,-1.1907718,-0.97711927,0.23374319423929857,0.9999851468215875,0.030405405405405407,0.0613167561458039
6,MRPL18,-1.1910696,-0.27534038,0.2336262547577086,0.9999851468215875,0.13513513513513514,0.17095224639728737
6,YEATS4,-1.1920376,-0.39197436,0.23324648787930014,0.9999851468215875,0.08277027027027027,0.11500423848544787
6,TRIB1,-1.1928381,-1.802765,0.23293278071233714,0.9999851468215875,0.013513513513513514,0.04408024865781294
6,C19orf43,-1.1929498,-0.13427003,0.23288903142394246,0.9999851468215875,0.606418918918919,0.6501836677027409
6,TBCD,-1.1930615,-1.1011918,0.23284528796455817,0.9999851468215875,0.02364864864864865,0.05453517942921729
6,NDUFAF3,-1.1934152,-0.20058274,0.23270680546249167,0.9999851468215875,0.25506756756756754,0.29556371856456626
6,HES4,-1.1935455,-2.3982532,0.23265580032570699,0.9999851468215875,0.008445945945945946,0.03899406612037298
6,C1orf43,-1.1940296,-0.17314985,0.2324664221195537,0.9999851468215875,0.2179054054054054,0.2647640576434021
6,MBD2,-1.1948673,-0.5948762,0.23213891069951154,0.9999851468215875,0.057432432432432436,0.0890081944051992
6,DLST,-1.1960772,-0.7917215,0.23166641708030544,0.9999851468215875,0.04222972972972973,0.07318451539983047
6,ZSWIM8,-1.1965798,-1.0699334,0.23147035139327232,0.9999851468215875,0.02195945945945946,0.053122350946595086
6,FAM104A,-1.1972314,-0.46345472,0.23121636761806263,0.9999851468215875,0.08108108108108109,0.11330884430630121
6,DGUOK,-1.1981436,-0.18568744,0.23086112303650697,0.9999851468215875,0.2668918918918919,0.3122350946595083
6,SLC4A1AP,-1.1987207,-0.7948096,0.23063657687551586,0.9999851468215875,0.037162162162162164,0.06866346425543939
6,FEM1B,-1.1991675,-1.0238843,0.23046284133169792,0.9999851468215875,0.02702702702702703,0.05820853348403504
6,UBAC1,-1.1998004,-0.9156085,0.23021687526752144,0.9999851468215875,0.030405405405405407,0.061599321842328345
6,TMED3,-1.2005823,-0.34707314,0.22991329261261229,0.9999851468215875,0.10472972972972973,0.13902232269002543
6,CYBRD1,-1.2012337,-25.179909,0.22966052465277598,0.9999851468215875,0.0,0.030799660921164172
6,BNIP2,-1.2016991,-0.26716006,0.22948009718716167,0.9999851468215875,0.19932432432432431,0.23481209381181126
6,ECHDC2,-1.2018667,-0.71730214,0.22941516799537287,0.9999851468215875,0.052364864864864864,0.08335688047471038
6,BLOC1S1,-1.2022204,-0.16399294,0.22927813818717047,0.9999851468215875,0.41047297297297297,0.452670245832156
6,VBP1,-1.2030395,-0.2685893,0.22896102965073228,0.9999851468215875,0.1554054054054054,0.1907318451539983
6,NECAP1,-1.2034677,-0.6557817,0.22879539267692373,0.9999851468215875,0.05574324324324324,0.08703023452952811
6,KEAP1,-1.2042681,-1.4419438,0.22848595242448289,0.9999851468215875,0.018581081081081082,0.04944899689177734
6,C6orf226,-1.2061484,-0.59190303,0.22776030010233983,0.9999851468215875,0.05067567567567568,0.08307431477818593
6,SLC39A7,-1.2062973,-1.0140725,0.2277028929616295,0.9999851468215875,0.02702702702702703,0.05849109918055948
6,SMIM4,-1.2064648,-0.41701844,0.22763832225458203,0.9999851468215875,0.0945945945945946,0.12687199773947444
6,TXNRD1,-1.2068744,-0.71836865,0.2274805376879111,0.9999851468215875,0.04560810810810811,0.07714043515117265
6,COMMD5,-1.2069116,-0.57493037,0.22746619750280228,0.9999851468215875,0.05912162162162162,0.09070358858434587
6,SLC25A26,-1.2072281,-0.5369092,0.2273443319445685,0.9999851468215875,0.06587837837837837,0.0977677309974569
6,PNP,-1.2076004,-0.64241314,0.2272010202954915,0.9999851468215875,0.04560810810810811,0.07770556654422153
6,TRMT1,-1.2079355,-0.31771466,0.22707209489013702,0.9999851468215875,0.12331081081081081,0.1576716586606386
6,CTBS,-1.208103,-0.36149016,0.22700765175276716,0.9999851468215875,0.0777027027027027,0.111896015823679
6,RHBDD2,-1.2082705,-0.4056102,0.2269432216578271,0.9999851468215875,0.07939189189189189,0.11302627860977678
6,SMC5,-1.2086986,-0.41492438,0.2267786262195196,0.9999851468215875,0.07601351351351351,0.10907035885843458
6,C1orf174,-1.2088848,-0.8175741,0.22670708954817642,0.9999851468215875,0.04222972972972973,0.0734670810963549
6,SSNA1,-1.2096481,-0.2088319,0.22641395747712267,0.9999851468215875,0.23648648648648649,0.2712630686634643
6,GCC2,-1.2103741,-0.1841607,0.22613537557212704,0.9999851468215875,0.28378378378378377,0.3246679853065838
6,MRPS14,-1.210765,-0.3922775,0.2259854712884135,0.9999851468215875,0.08445945945945946,0.11782989545069228
6,TNFSF8,-1.2108767,-3.1953394,0.2259426545226867,0.9999851468215875,0.0033783783783783786,0.03447301497598192
6,TMEM55A,-1.2112118,-0.8784681,0.22581423896742536,0.9999851468215875,0.030405405405405407,0.062164453235377226
6,TPM1,-1.2115469,-1.4693507,0.22568587551980845,0.9999851468215875,0.016891891891891893,0.04803616840915513
6,TMEM176A,-1.2122543,-25.222736,0.22541505710788445,0.9999851468215875,0.0,0.031082226617688613
6,SMARCA5,-1.2123101,-0.25784177,0.22539368659459302,0.9999851468215875,0.13175675675675674,0.16897428652161628
6,PLXND1,-1.2130734,-3.4616077,0.22510176790322856,0.9999851468215875,0.0033783783783783786,0.03447301497598192
6,C18orf21,-1.2132223,-1.2486678,0.22504483966027578,0.9999851468215875,0.02027027027027027,0.051709522463972875
6,FAM122A,-1.2137063,-0.7685517,0.2248598938973848,0.9999851468215875,0.04054054054054054,0.07233681831025714
6,JMJD6,-1.213967,-0.62430924,0.22476035270644124,0.9999851468215875,0.05067567567567568,0.08307431477818593
6,PIEZO1,-1.2144696,-1.6557872,0.22456846932896224,0.9999851468215875,0.015202702702702704,0.04634077423000848
6,RPP30,-1.2148978,-0.5503993,0.22440510547748393,0.9999851468215875,0.057432432432432436,0.08957332579824809
6,MMGT1,-1.2160891,-0.6735035,0.2239509748579379,0.9999851468215875,0.04222972972972973,0.07459734388245268
6,UBN1,-1.2161077,-0.432878,0.223943884284732,0.9999851468215875,0.08108108108108109,0.1138739756993501
6,GAB3,-1.2165359,-1.3829184,0.2237808454019944,0.9999851468215875,0.016891891891891893,0.04831873410567957
6,SIL1,-1.2171874,-1.0572246,0.22353290564936257,0.9999851468215875,0.02702702702702703,0.05849109918055948
6,COG3,-1.2174481,-0.96255267,0.22343378478587594,0.9999851468215875,0.03209459459459459,0.06357728171799944
6,FKBP15,-1.2175039,-0.84285295,0.22341254869203497,0.9999851468215875,0.03209459459459459,0.06414241311104832
6,MAP3K3,-1.2190118,-0.8259745,0.22283971983982365,0.9999851468215875,0.04222972972972973,0.07374964679287935
6,RP11-356I2.4,-1.2199798,-1.2778989,0.22247253233836795,0.9999851468215875,0.018581081081081082,0.050296693981350664
6,LAGE3,-1.2205383,-0.31416845,0.2222608905416552,0.9999851468215875,0.1266891891891892,0.1610624470189319
6,CD59,-1.2208734,-0.61269534,0.22213397468809637,0.9999851468215875,0.05067567567567568,0.08335688047471038
6,COPS4,-1.2209105,-0.38654968,0.22211987613102735,0.9999851468215875,0.08445945945945946,0.11867759254026561
